 Óbitos infantis - Minas Gerais
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2024
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"311350 CARBONITA";1;2;-;-;1;2;2;2;-;1;2;1;3;3;1;1;1;2;-;1;1;-;-;1;-;3;-;-;1;32
"311360 CAREACU";-;2;2;1;1;3;-;3;-;-;1;1;2;1;1;3;1;1;-;1;1;1;-;-;2;1;1;-;1;31
"311370 CARLOS CHAGAS";10;13;6;4;8;3;8;9;8;7;10;6;10;6;5;5;5;1;5;1;8;2;4;3;4;3;1;2;2;159
"311380 CARMESIA";1;-;-;2;1;3;2;2;1;2;1;-;2;-;-;-;-;3;-;1;-;1;1;-;-;-;-;-;-;23
"311390 CARMO DA CACHOEIRA";5;3;13;8;10;8;6;4;5;6;5;3;5;1;5;3;2;2;2;4;2;1;3;2;2;1;1;3;2;117
"311400 CARMO DA MATA";6;5;5;5;2;5;3;2;2;-;1;5;1;2;1;1;-;2;1;3;1;-;-;-;1;1;-;1;-;56
"311410 CARMO DE MINAS";4;2;4;2;2;3;3;5;2;4;5;7;5;2;-;2;-;1;8;2;1;2;-;1;-;1;2;3;-;73
"311420 CARMO DO CAJURU";4;7;4;4;14;1;3;6;4;6;1;-;2;4;3;5;7;1;1;3;4;1;1;3;1;2;6;3;6;107
"311430 CARMO DO PARANAIBA";3;8;7;2;11;5;10;3;3;-;4;5;5;4;2;5;4;9;1;3;2;4;3;7;4;2;3;1;4;124
"311440 CARMO DO RIO CLARO";6;3;7;5;6;3;5;2;3;-;3;3;1;-;1;-;7;1;2;5;4;2;5;-;3;1;5;1;2;86
"311450 CARMOPOLIS DE MINAS";5;6;4;1;5;5;1;2;2;1;3;3;3;1;-;1;1;2;1;1;2;4;1;3;-;3;2;1;1;65
"311455 CARNEIRINHO";3;-;2;-;1;-;-;2;-;2;1;3;-;2;1;1;1;1;2;2;1;2;-;-;1;-;-;-;-;28
"311460 CARRANCAS";5;1;4;1;2;-;1;1;2;-;2;1;1;-;2;-;-;-;-;-;-;2;-;3;-;-;-;-;-;28
"311470 CARVALHOPOLIS";2;2;2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;-;12
"311480 CARVALHOS";2;1;-;1;1;-;1;2;1;1;3;-;1;1;1;1;-;3;-;1;-;1;-;1;-;1;-;-;-;24
"311490 CASA GRANDE";3;3;-;5;1;-;-;1;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;1;-;-;18
"311500 CASCALHO RICO";-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;6
"311510 CASSIA";8;7;6;2;5;4;5;3;2;3;8;-;3;-;2;2;3;2;2;7;2;-;3;1;2;-;6;3;3;94
"311520 CONCEICAO DA BARRA DE MINAS";2;1;-;-;1;1;1;2;4;-;-;-;2;-;1;-;1;-;-;-;-;1;-;-;-;1;-;-;3;21
"311530 CATAGUASES";2;27;18;22;18;22;16;18;12;22;15;18;7;10;8;20;9;5;7;10;10;8;15;10;12;5;9;9;6;370
"311535 CATAS ALTAS";-;-;1;3;2;-;1;-;-;-;2;-;-;3;-;-;1;1;-;-;1;-;-;-;-;1;-;3;-;19
"311540 CATAS ALTAS DA NORUEGA";1;1;-;4;2;1;-;-;2;2;1;-;-;1;-;-;2;-;2;-;-;1;-;-;-;-;-;1;-;21
"311545 CATUJI";-;-;-;-;-;2;6;4;7;5;2;4;4;1;2;6;3;2;6;3;2;3;1;6;2;3;4;2;1;81
"311547 CATUTI";-;-;-;-;-;1;-;3;2;1;1;2;1;1;-;-;1;2;1;-;-;1;-;1;-;1;-;2;1;22
"311550 CAXAMBU";12;6;4;4;9;6;6;5;6;6;8;3;3;8;1;3;3;4;1;5;4;2;1;-;2;2;1;1;3;119
"311560 CEDRO DO ABAETE";-;-;-;-;-;-;-;2;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;8
"311570 CENTRAL DE MINAS";-;-;-;-;2;-;1;2;2;2;1;3;-;1;1;3;2;1;-;1;-;-;1;-;1;-;1;1;-;26
"311580 CENTRALINA";4;3;1;7;1;-;3;3;1;1;3;1;-;-;-;1;-;-;1;1;1;3;1;-;1;-;2;1;-;40
